accuracy, i_max_iter, i_k
0.756, 1000, 1000
0.758, 1000, 1000
0.733, 1000, 1000
0.749, 1000, 1000
0.735, 1000, 1000
0.749, 1000, 1000
0.737, 1000, 1000
0.734, 1000, 1000
0.717, 1000, 1000
0.727, 1000, 1000
0.739, 1000, 10000
0.747, 1000, 10000
0.736, 1000, 10000
0.748, 1000, 10000
0.727, 1000, 10000
0.725, 1000, 10000
0.743, 1000, 10000
0.743, 1000, 10000
0.755, 1000, 10000
0.738, 1000, 10000
0.758, 1000, 100000
0.717, 1000, 100000
0.74, 1000, 100000
0.747, 1000, 100000
0.726, 1000, 100000
0.755, 1000, 100000
0.735, 1000, 100000
0.741, 1000, 100000
0.747, 1000, 100000
0.758, 1000, 100000
0.74, 1000, 1000000
0.705, 1000, 1000000
0.753, 1000, 1000000
0.749, 1000, 1000000
0.746, 1000, 1000000
0.73, 1000, 1000000
0.737, 1000, 1000000
0.77, 1000, 1000000
0.753, 1000, 1000000
0.746, 1000, 1000000
0.739, 1000, 10000000
0.739, 1000, 10000000
0.754, 1000, 10000000
0.734, 1000, 10000000
0.741, 1000, 10000000
0.726, 1000, 10000000
0.718, 1000, 10000000
0.741, 1000, 10000000
0.757, 1000, 10000000
0.76, 1000, 10000000
